"var","mod0_en","mod1_en_rnn","mod1_en_drnn","mod2_en_rnn","mod2_en_drnn"
"nrun","160100.719252531","160116.775052051","160115.480131288","160105.005823136","160115.676964548"
"nfix","155490.16178119","155506.982341946","155508.035012724","155501.832556985","155508.139443936"
"reg.in","161678.342023655","161693.386692677","161692.626480144","161693.623840469","161692.598774143"
"dur","156144.32312673","156161.209005778","156158.727330425","156144.768356068","156158.932479991"
"firstrun.nfix","158608.273978005","158629.214496096","158627.135967017","158628.604547465","158626.981088223"
"firstrun.dur","158534.680455552","158554.791023175","158552.050803688","158545.329714366","158552.294719407"
"firstrun.gopast","165986.208614726","166006.203139232","166006.779541966","166005.071046503","166006.797475806"
"firstrun.gopast.sel","157626.427595545","157641.33132944","157646.289139532","157639.619093306","157646.312579715"
"firstfix.sac.in","152465.953030658","152465.63169145","152475.788692002","152474.777972066","152475.714350074"
"firstfix.sac.out","157655.923016325","157664.064660006","157669.821575282","157664.499376979","157669.755083742"
"firstfix.launch","151960.633970536","151960.31250685","151969.879802749","151969.3193575","151969.766907365"
"firstfix.land","150373.354898705","150394.095901088","150391.991140257","150393.871257189","150391.951909616"
"firstfix.cland","158747.523585997","158768.267537148","158765.940948431","158767.634814533","158765.856402283"
"firstfix.dur","162280.861558998","162300.299690171","162292.129626422","162280.095869819","162292.332221759"
