"var","mod0_hi","mod1_hi_rnn","mod1_hi_drnn","mod2_hi_rnn","mod2_hi_drnn"
"FFD","92326.3950541408","92311.600755292","92340.0173029956","92314.5107154229","92340.2351215942"
"SFD","97184.8391854437","97190.0764981063","97203.5953827095","97170.7656829888","97203.843230039"
"FPRT","88195.9896647243","88191.3870681798","88210.7340984905","88196.6647140525","88210.3169934176"
"RBRT","86753.3665171111","86749.3578082399","86768.6062529276","86753.5874327426","86768.0831366795"
"TFT","87045.6995087123","87041.9235158691","87059.6358474082","87039.0882323241","87059.2763328826"
"RPD","92595.5186659847","92602.1932933041","92612.6761985847","92605.8418926151","92612.4833080891"
"CRPD","51036.5294945038","50978.8302056495","51041.9154072261","50966.8175007905","51041.8476582367"
"RRT","94777.3039409921","94792.5086572225","94792.8215489436","94794.866092749","94792.6467805457"
"RRTP","96567.9191130914","96585.5779318252","96587.0231551062","96585.4940514036","96586.9129379431"
"RRTR","95950.8043428248","95967.3704358615","95964.3051292376","95967.1504668926","95964.2589342371"
"RBRC","96715.0557121405","96725.9415827517","96734.0331105744","96727.6755554576","96733.9627491171"
"TRC","96136.1313553973","96147.8577158728","96155.4884257388","96149.3510541237","96155.497326235"
"LPRT","88006.6731770908","88002.1740988242","88019.9397765012","88012.767544684","88019.4785569543"
