"item" "roi" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "PB" "IC" "SC"
"1" 1 1 2 "इस" 0 3071 8126 NA NA 2 1 0 2
"2" 1 2 3 "फिल्म" 1.5 107 135 11 20 5 1 0 1
"3" 1 3 1 "में" 1 12692 25348 11 25 3 1 0 1
"4" 1 4 3 "उनके" 0.5 565 6262 26 71 4 4 0 2
"5" 1 5 2 "हीरो" 0 6 6 1 1 4 4 0 1
"6" 1 6 3 "अजय" 0 19 19 1 1 3 6 0 1
"7" 1 7 4 "देवगन" 0.5 2 2 2 2 5 6 0 1
"8" 1 8 2 "बने" 0.5 77 450 1 1 3 8 7 0
"9" 1 9 1 "है" 0.5 10733 14482 1 41 2 8 0 0
"10" 1 10 1 "।" 0 19415 18846 6561 8730 1 8 0 0
"11" 2 1 2 "चूंकि" 2 20 19 NA NA 5 1 0 2
"12" 2 2 4 "अजनबी" 0 1 2 NA NA 5 2 0 2
"13" 2 3 1 "का" 0 5500 25348 NA NA 2 2 0 3
"14" 2 4 4 "प्रीमियर" 2 2 2 1 1 8 2 1 2
"15" 2 5 2 "यहां" 0.5 319 566 1 1 4 5 0 2
"16" 2 6 2 "पर" 0 5002 7193 8 25 2 5 0 2
"17" 2 7 2 "होना" 0 100 5915 1 82 4 7 8 1
"18" 2 8 1 "था" 0 1470 3255 7 165 2 7 0 1
"19" 2 9 4 "इसीलिए" 1 14 14 1 1 6 9 0 1
"20" 2 10 3 "बिपाशा" 1 8 8 1 1 6 10 0 1
"21" 2 11 1 "की" 0 11321 25348 1 2 2 10 0 2
"22" 2 12 4 "मौजूदगी" 0.5 32 32 23 23 7 10 1 1
"23" 2 13 2 "इस" 0 3071 8126 NA NA 2 13 0 2
"24" 2 14 4 "फ़ंकशन" 1 NA NA NA NA 6 13 0 1
"25" 2 15 1 "में" 1 12692 25348 NA NA 3 13 0 1
"26" 2 16 2 "काफी" 0 257 265 30 14 4 16 0 1
"27" 2 17 3 "अहम" 0 37 37 2 2 3 16 0 1
"28" 2 18 1 "थी" 0 888 3255 1 1 2 18 16 0
"29" 2 19 1 "।" 0 19415 18846 579 2058 1 18 0 0
"30" 3 1 3 "इसके" 0.5 801 8126 NA NA 4 1 0 2
"31" 3 2 3 "पहले" 0.5 700 587 11 113 4 1 0 1
"32" 3 3 1 "ज़ी" 0 NA NA NA NA 2 3 0 1
"33" 3 4 1 "में" 1 12692 25348 NA NA 3 3 0 1
"34" 3 5 4 "रंगारंग" 1 2 2 2 NA 7 5 0 1
"35" 3 6 4 "कार्निवाल" 3 1 1 1 1 9 5 0 1
"36" 3 7 1 "के" 0.5 18820 25348 1 1 2 5 0 2
"37" 3 8 3 "36वें" 1 NA NA NA NA 5 5 0 2
"38" 3 9 3 "फ़िल्म" 2 NA NA NA NA 6 5 0 1
"39" 3 10 5 "फ़ेसटीवल" 1 NA NA NA NA 8 5 3 1
"40" 3 11 1 "की" 0 11321 25348 NA NA 2 5 0 2
"41" 3 12 4 "शुरुआत" 1 54 54 39 40 6 5 1 1
"42" 3 13 2 "बड़े" 0.5 112 198 NA NA 3 13 0 1
"43" 3 14 1 "ही" 0 1862 1863 2 2 2 13 0 1
"44" 3 15 4 "धूमधाम" 0.5 4 4 1 1 6 13 1 1
"45" 3 16 1 "से" 0.5 7203 25348 3 NA 2 13 0 1
"46" 3 17 2 "हुई" 0.5 591 5915 25 11 3 17 34 0
"47" 3 18 1 "।" 0 19415 18846 117 886 1 17 0 0
"48" 4 1 3 "फ़िल्म" 2 NA NA NA NA 6 1 0 1
"49" 4 2 5 "फ़ेसटीवल" 1 NA NA NA NA 8 1 0 1
"50" 4 3 1 "की" 0 11321 25348 NA NA 2 1 0 2
"51" 4 4 5 "सिक्यूरिटी" 3 1 1 NA NA 10 1 1 1
"52" 4 5 1 "को" 0 8766 25348 NA NA 2 1 0 1
"53" 4 6 3 "लेकर" 0.5 449 1763 283 3 4 1 0 1
"54" 4 7 3 "पुलीस" 0.5 NA NA NA NA 5 7 0 1
"55" 4 8 1 "के" 0.5 18820 25348 NA NA 2 7 0 2
"56" 4 9 2 "द्वारा" 1.5 525 526 12 NA 6 7 0 1
"57" 4 10 2 "कड़े" 0.5 12 49 1 NA 3 12 0 1
"58" 4 11 4 "इंतिज़ाम" 2 NA NA NA NA 8 12 0 1
"59" 4 12 2 "किए" 1 458 9800 NA NA 3 12 11 0
"60" 4 13 2 "गये" 0.5 67 7560 2 1819 3 12 0 0
"61" 4 14 1 "हैं" 1 3449 14482 16 1903 3 12 1 0
"62" 4 15 2 "और" 0 5122 5122 166 592 2 15 0 1
"63" 4 16 2 "वह" 0 835 6262 38 353 2 16 0 1
"64" 4 17 2 "किसी" 1 550 1337 10 65 4 17 0 1
"65" 4 18 1 "भी" 0 3079 3081 124 183 2 17 0 1
"66" 4 19 3 "तरह" 0 546 548 14 14 3 17 1 1
